id,email,country,signup_date,status,last_seen,referral_code,phone_prefix,signup_date_clean,last_seen_clean,prefix_flag
46,user_46@outlook.com,DE,21/03/2024 22:11,4.0,2024-03-26 12:05:51,,,2024-03-21 22:11:00,2024-03-26 12:05:51,unknown
47,user_47@hotmail.com,AT,2022-01-15 04:33:24,0.0,2024-02-12 15:04:15,17c3a6b5,+43,2022-01-15 04:33:24,2024-02-12 15:04:15,ok
48,user_48@proton.me,FR,2024-09-15 11:08:41,4.0,2024-10-06 09:50:08,ae179e98,+31,2024-09-15 11:08:41,2024-10-06 09:50:08,mismatch
49,user_49@outlook.com,DE,2023-01-13 13:51:53,4.0,2026-04-10 02:33:54,,+31,2023-01-13 13:51:53,2026-04-10 02:33:54,mismatch
50,user_50@free.fr,FR,26/01/2022 15:12,0.0,2024-11-01 14:20:41,975fd1cf,+33,2022-01-26 15:12:00,2024-11-01 14:20:41,ok
51,user_51@outlook.com,ES,1641530211,1.0,2025-12-22 00:03:40,d1ad325c,+32,2022-01-07 04:36:51,2025-12-22 00:03:40,mismatch
52,user_52@free.fr,IT,2025-01-22T22:30:56Z,0.0,2025-11-10 10:44:39,,+39,2025-01-22 22:30:56,2025-11-10 10:44:39,ok
53,user_53@proton.me,DE,2025-04-09 09:56:05,0.0,2026-02-16 05:59:58,,+351,2025-04-09 09:56:05,2026-02-16 05:59:58,mismatch
54,user_54@outlook.com,FRA,2024-05-02 00:05:18,0.0,2024-07-22 23:28:31,,,2024-05-02 00:05:18,2024-07-22 23:28:31,unknown
55,user_55@hotmail.com,AT,2025-05-27T13:45:12Z,4.0,2026-04-06 10:42:57,,+43,2025-05-27 13:45:12,2026-04-06 10:42:57,ok
56,user_56@proton.me,FR,2023-12-31 14:14:00,1.0,2025-01-13 10:07:16,,+32,2023-12-31 14:14:00,2025-01-13 10:07:16,mismatch
57,user_57@free.fr,,2023-01-22 09:30:12,4.0,2024-03-31 19:55:38,,+39,2023-01-22 09:30:12,2024-03-31 19:55:38,unknown
58,user_58@hotmail.com,DE,2024-03-19 04:04:30,1.0,2025-08-02 20:34:39,,+41,2024-03-19 04:04:30,2025-08-02 20:34:39,mismatch
59,user_59@free.fr,CH,2024-09-05T12:24:31Z,0.0,2025-05-30 12:30:39,49cbd5b0,+41,2024-09-05 12:24:31,2025-05-30 12:30:39,ok
60,user_60@hotmail.com,BE,1632721583,0.0,2023-05-15 08:06:11,8649c14a,+32,2021-09-27 05:46:23,2023-05-15 08:06:11,ok
61,user_61@yahoo.fr,BE,2022-09-26 02:42:19,1.0,2022-10-18 02:11:40,,+32,2022-09-26 02:42:19,2022-10-18 02:11:40,ok
62,user_62@hotmail.com,AT,2021-01-13 17:29:20,0.0,2021-02-20 20:03:48,,+43,2021-01-13 17:29:20,2021-02-20 20:03:48,ok
63,user_63@free.fr,FRA,2023-07-28 22:54:44,0.0,2025-08-30 20:33:10,,+351,2023-07-28 22:54:44,2025-08-30 20:33:10,country_not_mapped
64,user_64@yahoo.fr,DE,2025-04-27 18:19:14,2.0,2025-12-15 06:37:31,,+33,2025-04-27 18:19:14,2025-12-15 06:37:31,mismatch
65,user_65@yahoo.fr,FRA,2025-05-08T01:22:31Z,0.0,2026-02-19 11:30:27,94fb7fff,,2025-05-08 01:22:31,2026-02-19 11:30:27,unknown
66,user_66@outlook.com,FRANCE,28/02/2024 23:12,0.0,2024-10-12 04:40:50,2cfca0d1,,2024-02-28 23:12:00,2024-10-12 04:40:50,unknown
67,user_67@yahoo.fr,FRA,2021-11-05 14:28:11,0.0,2025-06-18 11:07:44,,,2021-11-05 14:28:11,2025-06-18 11:07:44,unknown
68,user_68@hotmail.com,FRANCE,2025-01-02 11:09:12,0.0,2025-08-14 15:14:40,,,2025-01-02 11:09:12,2025-08-14 15:14:40,unknown
69,user_69@gmail.com,DE,2023-11-03T06:23:31Z,0.0,2025-03-17 23:24:41,d9859b36,+49,2023-11-03 06:23:31,2025-03-17 23:24:41,ok
70,user_70@free.fr,AT,2020-07-03 23:53:27,0.0,2021-12-30 07:03:30,,+43,2020-07-03 23:53:27,2021-12-30 07:03:30,ok
71,user_71@free.fr,DE,2023-02-15 01:51:25,0.0,2024-11-10 10:10:38,,+49,2023-02-15 01:51:25,2024-11-10 10:10:38,ok
72,user_72@outlook.com,BE,1730686235,0.0,2024-12-02 14:15:37,,+32,2024-11-04 02:10:35,2024-12-02 14:15:37,ok
73,user_73@yahoo.fr,CH,2024-10-11T18:42:38Z,0.0,2025-10-05 14:34:25,163a0ec7,+41,2024-10-11 18:42:38,2025-10-05 14:34:25,ok
74,user_74@free.fr,FR,2024-04-14T22:43:52Z,0.0,2024-07-18 06:16:38,,+49,2024-04-14 22:43:52,2024-07-18 06:16:38,mismatch
75,user_75@yahoo.fr,AT,2024-02-02 16:02:54,0.0,2024-08-03 03:30:13,,+43,2024-02-02 16:02:54,2024-08-03 03:30:13,ok
76,user_76@proton.me,CH,2024-01-19 04:28:04,0.0,2024-08-30 21:06:40,,+41,2024-01-19 04:28:04,2024-08-30 21:06:40,ok
77,user_77@outlook.com,FRANCE,2024-06-25 11:39:55,3.0,2025-01-19 00:07:28,3bd8d820,+41,2024-06-25 11:39:55,2025-01-19 00:07:28,country_not_mapped
78,user_78@yahoo.fr,FRANCE,2023-05-16 22:49:13,4.0,2025-04-23 07:17:52,,+351,2023-05-16 22:49:13,2025-04-23 07:17:52,country_not_mapped
79,user_79@free.fr,ES,2023-06-13 12:07:05,2.0,2026-04-09 12:13:51,,+34,2023-06-13 12:07:05,2026-04-09 12:13:51,ok
80,user_80@hotmail.com,FR,2023-11-28 23:36:38,0.0,2024-05-01 21:07:55,,+33,2023-11-28 23:36:38,2024-05-01 21:07:55,ok
81,user_81@free.fr,DE,16/01/2023 20:57,1.0,2025-09-11 01:44:59,,+49,2023-01-16 20:57:00,2025-09-11 01:44:59,ok
82,user_82@proton.me,DE,2024-04-25T00:00:04Z,0.0,2026-03-03 14:23:57,1d415520,+49,2024-04-25 00:00:04,2026-03-03 14:23:57,ok
83,user_83@outlook.com,,2021-01-07 06:21:46,0.0,2024-10-16 17:26:00,,+351,2021-01-07 06:21:46,2024-10-16 17:26:00,unknown
84,user_84@gmail.com,FR,2024-12-23T06:39:17Z,0.0,2025-05-12 03:09:30,6b1e5693,+33,2024-12-23 06:39:17,2025-05-12 03:09:30,ok
85,user_85@yahoo.fr,DE,2024-02-14 11:47:49,1.0,2025-05-06 07:28:57,,+49,2024-02-14 11:47:49,2025-05-06 07:28:57,ok
86,user_86@hotmail.com,DE,2022-09-25 15:49:28,,2023-08-01 03:10:20,edfc2ea3,+49,2022-09-25 15:49:28,2023-08-01 03:10:20,ok
87,user_87@free.fr,AT,23/12/2024 06:43,4.0,2025-01-30 08:58:36,,+43,2024-12-23 06:43:00,2025-01-30 08:58:36,ok
88,user_88@free.fr,DE,2021-10-12T17:16:07Z,1.0,2023-11-30 09:21:25,,+43,2021-10-12 17:16:07,2023-11-30 09:21:25,mismatch
89,user_89@yahoo.fr,DE,2020-06-12 15:50:22,0.0,2025-05-18 07:59:40,,+49,2020-06-12 15:50:22,2025-05-18 07:59:40,ok
90,user_90@outlook.com,ES,11/04/2023 16:18,0.0,2025-07-14 07:55:32,fe9e2239,+49,2023-11-04 16:18:00,2025-07-14 07:55:32,mismatch
91,user_91@free.fr,FRA,1620804973,3.0,2023-04-13 06:39:15,,+41,2021-05-12 07:36:13,2023-04-13 06:39:15,country_not_mapped
92,user_92@free.fr,FRA,2021-03-19 23:26:38,0.0,2025-01-30 22:44:53,,+41,2021-03-19 23:26:38,2025-01-30 22:44:53,country_not_mapped
93,user_93@gmail.com,FRA,15/12/2022 01:55,0.0,2025-07-19 19:26:00,377988df,,2022-12-15 01:55:00,2025-07-19 19:26:00,unknown
94,user_94@proton.me,ES,2021-02-24 18:34:14,0.0,2021-12-23 17:43:53,,+34,2021-02-24 18:34:14,2021-12-23 17:43:53,ok
95,user_95@hotmail.com,FR,1624500224,0.0,2025-01-03 02:05:41,,,2021-06-24 02:03:44,2025-01-03 02:05:41,unknown
96,user_96@outlook.com,CH,2023-04-01T19:49:53Z,99.0,2023-09-03 04:02:24,,+41,2023-04-01 19:49:53,2023-09-03 04:02:24,ok
97,user_97@free.fr,FRA,2024-01-12 18:11:05,0.0,2024-06-03 04:01:03,6ce9e5f5,,2024-01-12 18:11:05,2024-06-03 04:01:03,unknown
98,user_98@yahoo.fr,NL,2024-11-16T20:43:40Z,0.0,2025-04-26 18:25:15,,+31,2024-11-16 20:43:40,2025-04-26 18:25:15,ok
99,user_99@gmail.com,FRA,2024-10-04 09:23:03,2.0,2025-04-17 01:55:01,,+32,2024-10-04 09:23:03,2025-04-17 01:55:01,country_not_mapped
100,user_100@proton.me,DE,2020-08-10 19:09:15,1.0,2021-09-08 14:57:21,e7758e4b,+49,2020-08-10 19:09:15,2021-09-08 14:57:21,ok
101,user_101@gmail.com,FR,2024-08-07T02:13:15Z,0.0,2025-03-29 09:01:03,,+33,2024-08-07 02:13:15,2025-03-29 09:01:03,ok
102,user_102@gmail.com,ES,2020-11-07T00:10:29Z,0.0,2023-08-04 18:34:22,,+34,2020-11-07 00:10:29,2023-08-04 18:34:22,ok
103,user_103@gmail.com,DE,09/01/2024 15:28,0.0,2026-03-04 23:47:01,,+43,2024-09-01 15:28:00,2026-03-04 23:47:01,mismatch
104,user_104@hotmail.com,PT,2022-02-08 21:42:57,0.0,2023-11-13 17:48:14,,+351,2022-02-08 21:42:57,2023-11-13 17:48:14,ok
105,user_105@gmail.com,DE,2024-03-13T11:58:37Z,0.0,2024-05-04 15:25:57,e43920d5,+49,2024-03-13 11:58:37,2024-05-04 15:25:57,ok
106,user_106@free.fr,DE,15/03/2021 18:13,0.0,2024-09-12 02:20:13,,+41,2021-03-15 18:13:00,2024-09-12 02:20:13,mismatch
107,user_107@yahoo.fr,ES,2021-12-21T22:57:18Z,0.0,2023-04-16 16:28:22,,,2021-12-21 22:57:18,2023-04-16 16:28:22,unknown
108,user_108@free.fr,CH,07/12/2024 20:38,0.0,2026-04-04 18:24:20,a5a88c09,+41,2024-07-12 20:38:00,2026-04-04 18:24:20,ok
109,user_109@yahoo.fr,FR,2023-02-24 14:12:13,0.0,2023-03-06 01:50:38,b96c8773,+31,2023-02-24 14:12:13,2023-03-06 01:50:38,mismatch
110,user_110@outlook.com,DE,2021-07-03 01:17:10,0.0,2024-08-25 18:26:40,,+49,2021-07-03 01:17:10,2024-08-25 18:26:40,ok
111,user_111@hotmail.com,FR,2022-06-24 09:27:30,0.0,2024-05-12 17:54:26,,+43,2022-06-24 09:27:30,2024-05-12 17:54:26,mismatch
112,user_112@yahoo.fr,PT,2024-08-24 03:03:17,0.0,2026-01-24 07:18:25,,+351,2024-08-24 03:03:17,2026-01-24 07:18:25,ok
113,user_113@hotmail.com,FRANCE,2022-08-17 06:44:32,0.0,2024-01-09 00:01:49,,,2022-08-17 06:44:32,2024-01-09 00:01:49,unknown
114,user_114@free.fr,FR,2023-03-06 08:37:06,0.0,2023-06-26 07:47:15,,+33,2023-03-06 08:37:06,2023-06-26 07:47:15,ok
115,user_115@gmail.com,NL,19/09/2023 17:31,0.0,2024-12-12 11:25:41,,+31,2023-09-19 17:31:00,2024-12-12 11:25:41,ok
116,user_116@hotmail.com,CH,23/01/2021 21:43,0.0,2023-02-18 20:43:07,,+49,2021-01-23 21:43:00,2023-02-18 20:43:07,mismatch
117,user_117@outlook.com,NL,2024-09-04T12:45:47Z,0.0,2025-10-05 14:57:30,df82f9a7,+31,2024-09-04 12:45:47,2025-10-05 14:57:30,ok
118,user_118@free.fr,AT,2020-10-21 02:44:50,4.0,2022-04-24 11:43:10,,+43,2020-10-21 02:44:50,2022-04-24 11:43:10,ok
119,user_119@hotmail.com,DE,2022-11-30T04:09:10Z,0.0,2025-07-31 12:30:45,,+43,2022-11-30 04:09:10,2025-07-31 12:30:45,mismatch
120,user_120@outlook.com,DE,1704330505,0.0,2024-03-02 11:14:24,,+49,2024-01-04 01:08:25,2024-03-02 11:14:24,ok
121,user_121@proton.me,FRA,2020-07-06T10:52:30Z,4.0,2024-05-03 17:27:00,,,2020-07-06 10:52:30,2024-05-03 17:27:00,unknown
122,user_122@free.fr,ES,2023-02-01T00:34:35Z,0.0,2026-02-14 16:11:25,,+34,2023-02-01 00:34:35,2026-02-14 16:11:25,ok
123,user_123@outlook.com,FRA,2022-07-27T22:04:27Z,0.0,2024-03-20 18:00:37,e20dbf08,+34,2022-07-27 22:04:27,2024-03-20 18:00:37,country_not_mapped
124,user_124@yahoo.fr,,1672506991,0.0,2023-05-07 07:53:22,,,2022-12-31 17:16:31,2023-05-07 07:53:22,unknown
125,user_125@outlook.com,ES,2022-10-18T20:05:54Z,0.0,2025-03-05 02:13:24,,+351,2022-10-18 20:05:54,2025-03-05 02:13:24,mismatch
126,user_126@outlook.com,ES,2024-06-27 19:38:59,0.0,2025-04-04 20:36:51,,+34,2024-06-27 19:38:59,2025-04-04 20:36:51,ok
127,user_127@proton.me,DE,2022-09-05T23:51:26Z,2.0,2026-04-09 18:25:45,,,2022-09-05 23:51:26,2026-04-09 18:25:45,unknown
128,user_128@yahoo.fr,ES,2025-03-30T13:55:21Z,0.0,2025-08-23 21:12:22,6aade6ba,+43,2025-03-30 13:55:21,2025-08-23 21:12:22,mismatch
129,user_129@hotmail.com,IT,2025-05-11 01:17:40,1.0,2025-08-29 17:00:54,,+39,2025-05-11 01:17:40,2025-08-29 17:00:54,ok
130,user_130@outlook.com,DE,2025-01-06 05:33:09,0.0,2025-12-14 10:53:00,,+32,2025-01-06 05:33:09,2025-12-14 10:53:00,mismatch
131,user_131@outlook.com,CH,2020-08-10T02:48:28Z,0.0,2026-01-23 04:34:54,7c5c01f9,+41,2020-08-10 02:48:28,2026-01-23 04:34:54,ok
132,user_132@yahoo.fr,ES,2021-06-01 19:06:42,0.0,2025-02-19 23:25:49,,+49,2021-06-01 19:06:42,2025-02-19 23:25:49,mismatch
133,user_133@gmail.com,ES,2023-05-09 19:30:54,0.0,2024-04-22 14:55:36,,+34,2023-05-09 19:30:54,2024-04-22 14:55:36,ok
134,user_134@gmail.com,FR,2024-02-26T11:23:11Z,0.0,2025-02-08 21:55:26,,+33,2024-02-26 11:23:11,2025-02-08 21:55:26,ok
135,user_135@gmail.com,IT,2022-08-13T02:24:38Z,0.0,2023-08-17 06:16:49,,+39,2022-08-13 02:24:38,2023-08-17 06:16:49,ok
136,user_136@yahoo.fr,FRANCE,2020-04-21 01:30:30,0.0,2025-09-05 11:29:02,,,2020-04-21 01:30:30,2025-09-05 11:29:02,unknown
137,user_137@gmail.com,CH,2020-11-21T23:50:20Z,-1.0,2025-05-06 09:40:34,,+351,2020-11-21 23:50:20,2025-05-06 09:40:34,mismatch
138,user_138@outlook.com,DE,2023-05-04 19:26:37,1.0,2024-06-01 20:12:38,,,2023-05-04 19:26:37,2024-06-01 20:12:38,unknown
139,user_139@outlook.com,ES,2021-04-19T11:44:25Z,0.0,2021-09-04 05:38:55,,+34,2021-04-19 11:44:25,2021-09-04 05:38:55,ok
140,user_140@yahoo.fr,FR,13/09/2020 01:07,0.0,2024-08-05 00:10:47,,+33,2020-09-13 01:07:00,2024-08-05 00:10:47,ok
141,user_141@free.fr,IT,10/03/2024 19:14,0.0,2024-09-23 13:21:21,44dd6ac0,+39,2024-10-03 19:14:00,2024-09-23 13:21:21,ok
142,user_142@yahoo.fr,AT,2023-11-27 05:08:23,0.0,2025-07-19 20:18:05,117fd4f5,+43,2023-11-27 05:08:23,2025-07-19 20:18:05,ok
143,user_143@gmail.com,NL,2021-09-12 15:48:38,0.0,2024-03-13 08:37:21,,+31,2021-09-12 15:48:38,2024-03-13 08:37:21,ok
144,user_144@hotmail.com,BE,2020-07-10T14:13:46Z,0.0,2023-07-10 22:57:25,,+32,2020-07-10 14:13:46,2023-07-10 22:57:25,ok
145,user_145@proton.me,FRA,2021-07-11 01:28:28,0.0,2021-10-15 19:29:15,,+33,2021-07-11 01:28:28,2021-10-15 19:29:15,country_not_mapped
146,user_146@outlook.com,NL,2025-04-23 23:08:26,1.0,2025-06-22 13:17:16,,+31,2025-04-23 23:08:26,2025-06-22 13:17:16,ok
147,user_147@hotmail.com,CH,2021-02-16 11:20:31,1.0,2021-05-07 23:34:49,,+41,2021-02-16 11:20:31,2021-05-07 23:34:49,ok
148,user_148@hotmail.com,IT,05/08/2022 06:09,4.0,2025-07-18 07:37:42,,+39,2022-05-08 06:09:00,2025-07-18 07:37:42,ok
149,user_149@gmail.com,CH,18/11/2022 22:11,0.0,2025-09-21 09:03:47,,+41,2022-11-18 22:11:00,2025-09-21 09:03:47,ok
150,user_150@yahoo.fr,DE,2023-03-29T02:48:38Z,0.0,2025-05-27 10:35:58,,,2023-03-29 02:48:38,2025-05-27 10:35:58,unknown
151,user_151@gmail.com,DE,1731102397,0.0,2025-02-17 16:53:16,,+49,2024-11-08 21:46:37,2025-02-17 16:53:16,ok
152,user_152@free.fr,DE,2020-10-16T03:15:06Z,-1.0,2021-11-09 12:17:37,,+49,2020-10-16 03:15:06,2021-11-09 12:17:37,ok
153,user_153@gmail.com,ES,2021-09-17 08:09:17,0.0,2022-10-23 05:32:58,,+41,2021-09-17 08:09:17,2022-10-23 05:32:58,mismatch
154,user_154@yahoo.fr,FRA,2022-07-31 12:10:37,0.0,2026-03-06 14:52:17,a4c3ae94,,2022-07-31 12:10:37,2026-03-06 14:52:17,unknown
155,user_155@free.fr,,2021-06-23T01:33:28Z,0.0,2022-12-06 23:12:04,1b1289df,,2021-06-23 01:33:28,2022-12-06 23:12:04,unknown
156,user_156@proton.me,PT,2022-06-01 06:10:28,0.0,2025-03-08 18:03:34,,+351,2022-06-01 06:10:28,2025-03-08 18:03:34,ok
157,user_157@hotmail.com,BE,2022-03-31T19:25:12Z,2.0,2025-09-01 20:22:07,,+32,2022-03-31 19:25:12,2025-09-01 20:22:07,ok
158,user_158@outlook.com,FRANCE,2021-05-21 08:42:50,3.0,2024-01-17 12:33:14,,+39,2021-05-21 08:42:50,2024-01-17 12:33:14,country_not_mapped
159,user_159@yahoo.fr,ES,2024-02-18 06:42:56,0.0,2024-08-26 14:39:48,f5a6c13c,+34,2024-02-18 06:42:56,2024-08-26 14:39:48,ok
160,user_160@yahoo.fr,AT,2025-01-28 19:28:03,0.0,2025-09-28 16:53:46,81d67c66,+43,2025-01-28 19:28:03,2025-09-28 16:53:46,ok
161,user_161@outlook.com,AT,2021-12-29T10:19:50Z,0.0,2024-12-29 20:05:45,ff2b9dc5,+43,2021-12-29 10:19:50,2024-12-29 20:05:45,ok
162,user_162@hotmail.com,FR,2023-04-11 10:21:27,0.0,2024-12-27 20:45:32,,+33,2023-04-11 10:21:27,2024-12-27 20:45:32,ok
163,user_163@free.fr,FR,1658107747,,2026-01-20 03:19:16,,,2022-07-18 01:29:07,2026-01-20 03:19:16,unknown
164,user_164@hotmail.com,CH,2021-05-23 05:21:14,0.0,2023-01-31 16:11:07,,+41,2021-05-23 05:21:14,2023-01-31 16:11:07,ok
165,user_165@proton.me,NL,1721400817,0.0,2024-11-05 04:36:00,,+31,2024-07-19 14:53:37,2024-11-05 04:36:00,ok
166,user_166@outlook.com,AT,2024-09-09 22:08:05,1.0,2025-09-25 09:32:17,,+43,2024-09-09 22:08:05,2025-09-25 09:32:17,ok
167,user_167@free.fr,DE,2020-05-22 18:57:21,0.0,2025-06-20 07:45:45,,,2020-05-22 18:57:21,2025-06-20 07:45:45,unknown
168,user_168@yahoo.fr,FR,2023-05-26T05:02:46Z,3.0,2024-01-10 18:31:25,,+33,2023-05-26 05:02:46,2024-01-10 18:31:25,ok
169,user_169@proton.me,,2021-11-24T11:15:56Z,0.0,2025-05-22 11:13:22,,,2021-11-24 11:15:56,2025-05-22 11:13:22,unknown
170,user_170@yahoo.fr,AT,2024-03-26 05:55:33,0.0,2025-05-08 09:31:47,,+43,2024-03-26 05:55:33,2025-05-08 09:31:47,ok
171,user_171@yahoo.fr,BE,2022-05-31 08:16:22,0.0,2025-01-03 01:34:34,29877161,+32,2022-05-31 08:16:22,2025-01-03 01:34:34,ok
172,user_172@free.fr,BE,2024-03-30 16:44:10,0.0,2024-12-26 14:53:54,,+32,2024-03-30 16:44:10,2024-12-26 14:53:54,ok
173,user_173@free.fr,DE,2021-05-30 02:03:05,0.0,2023-11-18 11:46:16,3bd8d820,+49,2021-05-30 02:03:05,2023-11-18 11:46:16,ok
